entity_1,relationship,entity_2
La La Land,acted_by,Emma Stone
La La Land,acted_by,Rosemarie DeWitt
La La Land,acted_by,J.K. Simmons
La La Land,released_in,2016
La La Land,described_as,A jazz pianist falls for an aspiring actress in Los Angeles.
Mindhorn,genre,Comedy
Mindhorn,directed_by,Sean Foley
Mindhorn,acted_by,Essie Davis
Mindhorn,acted_by,Andrea Riseborough
Mindhorn,acted_by,Julian Barratt
Mindhorn,acted_by,Kenneth Branagh
Mindhorn,released_in,2016
Mindhorn,described_as,"A has-been actor best known for playing the title character in the 1980s detective series ""Mindhorn"" must work with the police when a serial killer says that he will only speak with Detective Mindhorn, whom he believes to be a real person."
The Lost City of Z,genre,Action
The Lost City of Z,genre,Adventure
The Lost City of Z,genre,Biography
The Lost City of Z,directed_by,James Gray
The Lost City of Z,acted_by,Charlie Hunnam
The Lost City of Z,acted_by,Robert Pattinson
The Lost City of Z,acted_by,Sienna Miller
The Lost City of Z,acted_by,Tom Holland
The Lost City of Z,released_in,2016
The Lost City of Z,described_as,"A true-life drama, centering on British explorer Col. Percival Fawcett, who disappeared while searching for a mysterious city in the Amazon in the 1920s."
Passengers,genre,Adventure
Passengers,genre,Drama
Passengers,genre,Romance
Passengers,directed_by,Morten Tyldum
Passengers,acted_by,Jennifer Lawrence
Passengers,acted_by,Chris Pratt
Passengers,acted_by,Michael Sheen
Passengers,acted_by,Laurence Fishburne
Passengers,released_in,2016
Passengers,described_as,"A spacecraft traveling to a distant colony planet and transporting thousands of people has a malfunction in its sleep chambers. As a result, two passengers are awakened 90 years early."
Fantastic Beasts and Where to Find Them,genre,Adventure
Fantastic Beasts and Where to Find Them,genre,Family
Fantastic Beasts and Where to Find Them,genre,Fantasy
Fantastic Beasts and Where to Find Them,directed_by,David Yates
Fantastic Beasts and Where to Find Them,acted_by,Eddie Redmayne
Fantastic Beasts and Where to Find Them,acted_by,Katherine Waterston
Fantastic Beasts and Where to Find Them,acted_by,Alison Sudol
Fantastic Beasts and Where to Find Them,acted_by,Dan Fogler
Fantastic Beasts and Where to Find Them,released_in,2016
Fantastic Beasts and Where to Find Them,described_as,The adventures of writer Newt Scamander in New York's secret community of witches and wizards seventy years before Harry Potter reads his book in school.
Hidden Figures,genre,Biography
Hidden Figures,genre,Drama
Hidden Figures,genre,History
Hidden Figures,directed_by,Theodore Melfi
Hidden Figures,acted_by,Taraji P. Henson
Hidden Figures,acted_by,Octavia Spencer
Hidden Figures,acted_by,Janelle Monáe
Hidden Figures,acted_by,Kevin Costner
Hidden Figures,released_in,2016
Hidden Figures,described_as,The story of a team of female African-American mathematicians who served a vital role in NASA during the early years of the U.S. space program.
Rogue One,genre,Action
Rogue One,genre,Adventure
Rogue One,genre,Sci-Fi
Rogue One,directed_by,Gareth Edwards
Rogue One,acted_by,Felicity Jones
Rogue One,acted_by,Diego Luna
Rogue One,acted_by,Alan Tudyk
Rogue One,acted_by,Donnie Yen
Rogue One,released_in,2016
Rogue One,described_as,"The Rebel Alliance makes a risky move to steal the plans for the Death Star, setting up the epic saga to follow."
Moana,genre,Animation
Moana,genre,Adventure
Moana,genre,Comedy
Moana,directed_by,Ron Clements
Moana,acted_by,Auli'i Cravalho
Moana,acted_by,Dwayne Johnson
Moana,acted_by,Rachel House
Moana,acted_by,Temuera Morrison
Moana,released_in,2016
Moana,described_as,"In Ancient Polynesia, when a terrible curse incurred by the Demigod Maui reaches an impetuous Chieftain's daughter's island, she answers the Ocean's call to seek out the Demigod to set things right."
Colossal,genre,Action
Colossal,genre,Comedy
Colossal,genre,Drama
Colossal,directed_by,Nacho Vigalondo
Colossal,acted_by,Anne Hathaway
Colossal,acted_by,Jason Sudeikis
Colossal,acted_by,Austin Stowell
Colossal,acted_by,Tim Blake Nelson
Colossal,released_in,2016
Colossal,described_as,"Gloria is an out-of-work party girl forced to leave her life in New York City, and move back home. When reports surface that a giant creature is destroying Seoul, she gradually comes to the realization that she is somehow connected to this phenomenon."
The Secret Life of Pets,genre,Animation
The Secret Life of Pets,genre,Adventure
The Secret Life of Pets,genre,Comedy
The Secret Life of Pets,directed_by,Chris Renaud
The Secret Life of Pets,acted_by,Louis C.K.
The Secret Life of Pets,acted_by,Eric Stonestreet
The Secret Life of Pets,acted_by,Kevin Hart
The Secret Life of Pets,acted_by,Lake Bell
The Secret Life of Pets,released_in,2016
The Secret Life of Pets,described_as,"The quiet life of a terrier named Max is upended when his owner takes in Duke, a stray whom Max instantly dislikes."
Hacksaw Ridge,genre,Biography
Hacksaw Ridge,genre,Drama
Hacksaw Ridge,genre,History
Hacksaw Ridge,directed_by,Mel Gibson
Hacksaw Ridge,acted_by,Andrew Garfield
Hacksaw Ridge,acted_by,Sam Worthington
Hacksaw Ridge,acted_by,Luke Bracey
Hacksaw Ridge,acted_by,Teresa Palmer
Hacksaw Ridge,released_in,2016
Hacksaw Ridge,described_as,"WWII American Army Medic Desmond T. Doss, who served during the Battle of Okinawa, refuses to kill people, and becomes the first man in American history to receive the Medal of Honor without firing a shot."
Jason Bourne,genre,Action
Jason Bourne,genre,Thriller
Jason Bourne,directed_by,Paul Greengrass
Jason Bourne,acted_by,Matt Damon
Jason Bourne,acted_by,Tommy Lee Jones
Jason Bourne,acted_by,Alicia Vikander
Jason Bourne,acted_by,Vincent Cassel
Jason Bourne,released_in,2016
Jason Bourne,described_as,The CIA's most dangerous former operative is drawn out of hiding to uncover more explosive truths about his past.
Lion,genre,Biography
Lion,genre,Drama
Lion,directed_by,Garth Davis
Lion,acted_by,Dev Patel
Lion,acted_by,Nicole Kidman
Lion,acted_by,Rooney Mara
Lion,acted_by,Sunny Pawar
Lion,released_in,2016
Lion,described_as,"A five-year-old Indian boy gets lost on the streets of Calcutta, thousands of kilometers from home. He survives many challenges before being adopted by a couple in Australia. 25 years later, he sets out to find his lost family."
Arrival,genre,Drama
Arrival,genre,Mystery
Arrival,genre,Sci-Fi
Arrival,directed_by,Denis Villeneuve
Arrival,acted_by,Amy Adams
Arrival,acted_by,Jeremy Renner
Arrival,acted_by,Forest Whitaker
Arrival,acted_by,Michael Stuhlbarg
Arrival,released_in,2016
Arrival,described_as,"When twelve mysterious spacecraft appear around the world, linguistics professor Louise Banks is tasked with interpreting the language of the apparent alien visitors."
Gold,genre,Adventure
Gold,genre,Drama
Gold,genre,Thriller
Gold,directed_by,Stephen Gaghan
Gold,acted_by,Matthew McConaughey
Gold,acted_by,Edgar Ramírez
Gold,acted_by,Bryce Dallas Howard
Gold,acted_by,Corey Stoll
Gold,released_in,2016
Gold,described_as,"Kenny Wells, a prospector desperate for a lucky break, teams up with a similarly eager geologist and sets off on a journey to find gold in the uncharted jungle of Indonesia."
Manchester by the Sea,genre,Drama
Manchester by the Sea,directed_by,Kenneth Lonergan
Manchester by the Sea,acted_by,Casey Affleck
Manchester by the Sea,acted_by,Michelle Williams
Manchester by the Sea,acted_by,Kyle Chandler
Manchester by the Sea,acted_by,Lucas Hedges
Manchester by the Sea,released_in,2016
Manchester by the Sea,described_as,A depressed uncle is asked to take care of his teenage nephew after the boy's father dies.
Hounds of Love,genre,Crime
Hounds of Love,genre,Drama
Hounds of Love,genre,Horror
Hounds of Love,directed_by,Ben Young
Hounds of Love,acted_by,Emma Booth
Hounds of Love,acted_by,Ashleigh Cummings
Hounds of Love,acted_by,Stephen Curry
Hounds of Love,acted_by,Susie Porter
Hounds of Love,released_in,2016
Hounds of Love,described_as,"A cold-blooded predatory couple while cruising the streets in search of their next victim, will stumble upon a 17-year-old high school girl, who will be sedated, abducted and chained in the strangers' guest room."
Trolls,genre,Animation
Trolls,genre,Adventure
Trolls,genre,Comedy
Trolls,directed_by,Walt Dohrn
Trolls,acted_by,Anna Kendrick
Trolls,acted_by,Justin Timberlake
Trolls,acted_by,Zooey Deschanel
Trolls,acted_by,Christopher Mintz-Plasse
Trolls,released_in,2016
Trolls,described_as,"After the Bergens invade Troll Village, Poppy, the happiest Troll ever born, and the curmudgeonly Branch set off on a journey to rescue her friends."
Independence Day: Resurgence,genre,Action
Independence Day: Resurgence,genre,Adventure
Independence Day: Resurgence,genre,Sci-Fi
Independence Day: Resurgence,directed_by,Roland Emmerich
Independence Day: Resurgence,acted_by,Liam Hemsworth
Independence Day: Resurgence,acted_by,Jeff Goldblum
Independence Day: Resurgence,acted_by,Bill Pullman
Independence Day: Resurgence,acted_by,Maika Monroe
Independence Day: Resurgence,released_in,2016
Independence Day: Resurgence,described_as,"Two decades after the first Independence Day invasion, Earth is faced with a new extra-Solar threat. But will mankind's new space defenses be enough?"
Paris pieds nus,genre,Comedy
Paris pieds nus,directed_by,Dominique Abel
Paris pieds nus,acted_by,Fiona Gordon
Paris pieds nus,acted_by,Dominique Abel
Paris pieds nus,acted_by,Emmanuelle Riva
Paris pieds nus,acted_by,Pierre Richard
Paris pieds nus,released_in,2016
Paris pieds nus,described_as,"Fiona visits Paris for the first time to assist her myopic Aunt Martha. Catastrophes ensue, mainly involving Dom, a homeless man who has yet to have an emotion or thought he was afraid of expressing."
Bahubali: The Beginning,genre,Action
Bahubali: The Beginning,genre,Adventure
Bahubali: The Beginning,genre,Drama
Bahubali: The Beginning,directed_by,S.S. Rajamouli
Bahubali: The Beginning,acted_by,Prabhas
Bahubali: The Beginning,acted_by,Rana Daggubati
Bahubali: The Beginning,acted_by,Anushka Shetty
Bahubali: The Beginning,acted_by,Tamannaah Bhatia
Bahubali: The Beginning,released_in,2015
Bahubali: The Beginning,described_as,"In ancient India, an adventurous and daring man becomes involved in a decades old feud between two warring people."
Dead Awake,genre,Horror
Dead Awake,genre,Thriller
Dead Awake,directed_by,Phillip Guzman
Dead Awake,acted_by,Jocelin Donahue
Dead Awake,acted_by,Jesse Bradford
Dead Awake,acted_by,Jesse Borrego
Dead Awake,acted_by,Lori Petty
Dead Awake,released_in,2016
Dead Awake,described_as,A young woman must save herself and her friends from an ancient evil that stalks its victims through the real-life phenomenon of sleep paralysis.
Bad Moms,genre,Comedy
Bad Moms,directed_by,Jon Lucas
Bad Moms,acted_by,Mila Kunis
Bad Moms,acted_by,Kathryn Hahn
Bad Moms,acted_by,Kristen Bell
Bad Moms,acted_by,Christina Applegate
Bad Moms,released_in,2016
Bad Moms,described_as,"When three overworked and under-appreciated moms are pushed beyond their limits, they ditch their conventional responsibilities for a jolt of long overdue freedom, fun, and comedic self-indulgence."
Assassin's Creed,genre,Action
Assassin's Creed,genre,Adventure
Assassin's Creed,genre,Drama
Assassin's Creed,directed_by,Justin Kurzel
Assassin's Creed,acted_by,Michael Fassbender
Assassin's Creed,acted_by,Marion Cotillard
Assassin's Creed,acted_by,Jeremy Irons
Assassin's Creed,acted_by,Brendan Gleeson
Assassin's Creed,released_in,2016
Assassin's Creed,described_as,"When Callum Lynch explores the memories of his ancestor Aguilar and gains the skills of a Master Assassin, he discovers he is a descendant of the secret Assassins society."
Why Him?,genre,Comedy
Why Him?,directed_by,John Hamburg
Why Him?,acted_by,Zoey Deutch
Why Him?,acted_by,James Franco
Why Him?,acted_by,Tangie Ambrose
Why Him?,acted_by,Cedric the Entertainer
Why Him?,released_in,2016
Why Him?,described_as,A holiday gathering threatens to go off the rails when Ned Fleming realizes that his daughter's Silicon Valley millionaire boyfriend is about to pop the question.
Nocturnal Animals,genre,Drama
Nocturnal Animals,genre,Thriller
Nocturnal Animals,directed_by,Tom Ford
Nocturnal Animals,acted_by,Amy Adams
Nocturnal Animals,acted_by,Jake Gyllenhaal
Nocturnal Animals,acted_by,Michael Shannon
Nocturnal Animals,acted_by,Aaron Taylor-Johnson
Nocturnal Animals,released_in,2016
Nocturnal Animals,described_as,"A wealthy art gallery owner is haunted by her ex-husband's novel, a violent thriller she interprets as a symbolic revenge tale."
X-Men: Apocalypse,genre,Action
X-Men: Apocalypse,genre,Adventure
X-Men: Apocalypse,genre,Sci-Fi
X-Men: Apocalypse,directed_by,Bryan Singer
X-Men: Apocalypse,acted_by,James McAvoy
X-Men: Apocalypse,acted_by,Michael Fassbender
X-Men: Apocalypse,acted_by,Jennifer Lawrence
X-Men: Apocalypse,acted_by,Nicholas Hoult
X-Men: Apocalypse,released_in,2016
X-Men: Apocalypse,described_as,"After the re-emergence of the world's first mutant, world-destroyer Apocalypse, the X-Men must unite to defeat his extinction level plan."
Deadpool,genre,Action
Deadpool,genre,Adventure
Deadpool,genre,Comedy
Deadpool,directed_by,Tim Miller
Deadpool,acted_by,Ryan Reynolds
Deadpool,acted_by,Morena Baccarin
Deadpool,acted_by,T.J. Miller
Deadpool,acted_by,Ed Skrein
Deadpool,released_in,2016
Deadpool,described_as,A fast-talking mercenary with a morbid sense of humor is subjected to a rogue experiment that leaves him with accelerated healing powers and a quest for revenge.
Resident Evil: The Final Chapter,genre,Action
Resident Evil: The Final Chapter,genre,Horror
Resident Evil: The Final Chapter,genre,Sci-Fi
Resident Evil: The Final Chapter,directed_by,Paul W.S. Anderson
Resident Evil: The Final Chapter,acted_by,Milla Jovovich
Resident Evil: The Final Chapter,acted_by,Iain Glen
Resident Evil: The Final Chapter,acted_by,Ali Larter
Resident Evil: The Final Chapter,acted_by,Shawn Roberts
Resident Evil: The Final Chapter,released_in,2016
Resident Evil: The Final Chapter,described_as,"Alice returns to where the nightmare began: The Hive in Raccoon City, where the Umbrella Corporation is gathering its forces for a final strike against the only remaining survivors of the apocalypse."
Captain America: Civil War,genre,Action
Captain America: Civil War,genre,Adventure
Captain America: Civil War,genre,Sci-Fi
Captain America: Civil War,directed_by,Anthony Russo
Captain America: Civil War,acted_by,Chris Evans
Captain America: Civil War,acted_by,Robert Downey Jr.
Captain America: Civil War,acted_by,Scarlett Johansson
Captain America: Civil War,acted_by,Sebastian Stan
Captain America: Civil War,released_in,2016
Captain America: Civil War,described_as,Political interference in the Avengers' activities causes a rift between former allies Captain America and Iron Man.
Interstellar,genre,Adventure
Interstellar,genre,Drama
Interstellar,genre,Sci-Fi
Interstellar,directed_by,Christopher Nolan
Interstellar,acted_by,Matthew McConaughey
Interstellar,acted_by,Anne Hathaway
Interstellar,acted_by,Jessica Chastain
Interstellar,acted_by,Mackenzie Foy
Interstellar,released_in,2014
Interstellar,described_as,A team of explorers travel through a wormhole in space in an attempt to ensure humanity's survival.
Doctor Strange,genre,Action
Doctor Strange,genre,Adventure
Doctor Strange,genre,Fantasy
Doctor Strange,directed_by,Scott Derrickson
Doctor Strange,acted_by,Benedict Cumberbatch
Doctor Strange,acted_by,Chiwetel Ejiofor
Doctor Strange,acted_by,Rachel McAdams
Doctor Strange,acted_by,Benedict Wong
Doctor Strange,released_in,2016
Doctor Strange,described_as,"While on a journey of physical and spiritual healing, a brilliant neurosurgeon is drawn into the world of the mystic arts."
The Magnificent Seven,genre,Action
The Magnificent Seven,genre,Adventure
The Magnificent Seven,genre,Western
The Magnificent Seven,directed_by,Antoine Fuqua
The Magnificent Seven,acted_by,Denzel Washington
The Magnificent Seven,acted_by,Chris Pratt
The Magnificent Seven,acted_by,Ethan Hawke
The Magnificent Seven,acted_by,Vincent D'Onofrio
The Magnificent Seven,released_in,2016
The Magnificent Seven,described_as,Seven gunmen in the old west gradually come together to help a poor village against savage thieves.
5- 25- 77,genre,Comedy
5- 25- 77,genre,Drama
5- 25- 77,directed_by,Patrick Read Johnson
5- 25- 77,acted_by,John Francis Daley
5- 25- 77,acted_by,Austin Pendleton
5- 25- 77,acted_by,Colleen Camp
5- 25- 77,acted_by,Neil Flynn
5- 25- 77,released_in,2007
5- 25- 77,described_as,"Alienated, hopeful-filmmaker Pat Johnson's epic story growing up in rural Illinois, falling in love, and becoming the first fan of the movie that changed everything."
Sausage Party,genre,Animation
Sausage Party,genre,Adventure
Sausage Party,genre,Comedy
Sausage Party,directed_by,Greg Tiernan
Sausage Party,acted_by,Seth Rogen
Sausage Party,acted_by,Kristen Wiig
Sausage Party,acted_by,Jonah Hill
Sausage Party,acted_by,Alistair Abell
Sausage Party,released_in,2016
Sausage Party,described_as,A sausage strives to discover the truth about his existence.
Moonlight,genre,Drama
Moonlight,directed_by,Barry Jenkins
Moonlight,acted_by,Mahershala Ali
Moonlight,acted_by,Shariff Earp
Moonlight,acted_by,Duan Sanderson
Moonlight,acted_by,Alex R. Hibbert
Moonlight,released_in,2016
Moonlight,described_as,"A chronicle of the childhood, adolescence and burgeoning adulthood of a young, African-American, gay man growing up in a rough neighborhood of Miami."
Don't Fuck in the Woods,genre,Horror
Don't Fuck in the Woods,directed_by,Shawn Burkett
Don't Fuck in the Woods,acted_by,Brittany Blanton
Don't Fuck in the Woods,acted_by,Ayse Howard
Don't Fuck in the Woods,acted_by,Roman Jossart
Don't Fuck in the Woods,acted_by,Nadia White
Don't Fuck in the Woods,released_in,2016
Don't Fuck in the Woods,described_as,"A group of friends are going on a camping trip to celebrate graduating college. But once they enter the woods, the proverbial shit starts to hit the fan."
The Founder,genre,Biography
The Founder,genre,Drama
The Founder,genre,History
The Founder,directed_by,John Lee Hancock
The Founder,acted_by,Michael Keaton
The Founder,acted_by,Nick Offerman
The Founder,acted_by,John Carroll Lynch
The Founder,acted_by,Linda Cardellini
The Founder,released_in,2016
The Founder,described_as,"The story of Ray Kroc, a salesman who turned two brothers' innovative fast food eatery, McDonald's, into one of the biggest restaurant businesses in the world with a combination of ambition, persistence, and ruthlessness."
Lowriders,genre,Drama
Lowriders,directed_by,Ricardo de Montreuil
Lowriders,acted_by,Gabriel Chavarria
Lowriders,acted_by,Demián Bichir
Lowriders,acted_by,Theo Rossi
Lowriders,acted_by,Tony Revolori
Lowriders,released_in,2016
Lowriders,described_as,"A young street artist in East Los Angeles is caught between his father's obsession with lowrider car culture, his ex-felon brother and his need for self-expression."
Pirates of the Caribbean: On Stranger Tides,genre,Action
Pirates of the Caribbean: On Stranger Tides,genre,Adventure
Pirates of the Caribbean: On Stranger Tides,genre,Fantasy
Pirates of the Caribbean: On Stranger Tides,directed_by,Rob Marshall
Pirates of the Caribbean: On Stranger Tides,acted_by,Johnny Depp
Pirates of the Caribbean: On Stranger Tides,acted_by,Penélope Cruz
Pirates of the Caribbean: On Stranger Tides,acted_by,Ian McShane
Pirates of the Caribbean: On Stranger Tides,acted_by,Geoffrey Rush
Pirates of the Caribbean: On Stranger Tides,released_in,2011
Pirates of the Caribbean: On Stranger Tides,described_as,"Jack Sparrow and Barbossa embark on a quest to find the elusive fountain of youth, only to discover that Blackbeard and his daughter are after it too."
Miss Sloane,genre,Drama
Miss Sloane,genre,Thriller
Miss Sloane,directed_by,John Madden
Miss Sloane,acted_by,Jessica Chastain
Miss Sloane,acted_by,Mark Strong
Miss Sloane,acted_by,Gugu Mbatha-Raw
Miss Sloane,acted_by,Michael Stuhlbarg
Miss Sloane,released_in,2016
Miss Sloane,described_as,"In the high-stakes world of political power-brokers, Elizabeth Sloane is the most sought after and formidable lobbyist in D.C. But when taking on the most powerful opponent of her career, she finds winning may come at too high a price."
Fallen,genre,Adventure
Fallen,genre,Drama
Fallen,genre,Fantasy
Fallen,directed_by,Scott Hicks
Fallen,acted_by,Hermione Corfield
Fallen,acted_by,Addison Timlin
Fallen,acted_by,Joely Richardson
Fallen,acted_by,Jeremy Irvine
Fallen,released_in,2016
Fallen,described_as,"A young girl finds herself in a reform school after therapy since she was blamed for the death of a young boy. At the school she finds herself drawn to a fellow student, unaware that he is an angel, and has loved her for thousands of years."
Star Trek Beyond,genre,Action
Star Trek Beyond,genre,Adventure
Star Trek Beyond,genre,Sci-Fi
Star Trek Beyond,directed_by,Justin Lin
Star Trek Beyond,acted_by,Chris Pine
Star Trek Beyond,acted_by,Zachary Quinto
Star Trek Beyond,acted_by,Karl Urban
Star Trek Beyond,acted_by,Zoe Saldana
Star Trek Beyond,released_in,2016
Star Trek Beyond,described_as,"The USS Enterprise crew explores the furthest reaches of uncharted space, where they encounter a new ruthless enemy who puts them and everything the Federation stands for to the test."
The Last Face,genre,Drama
The Last Face,directed_by,Sean Penn
The Last Face,acted_by,Charlize Theron
The Last Face,acted_by,Javier Bardem
The Last Face,acted_by,Adèle Exarchopoulos
The Last Face,acted_by,Jared Harris
The Last Face,released_in,2016
The Last Face,described_as,"A director (Charlize Theron) of an international aid agency in Africa meets a relief aid doctor (Javier Bardem) amidst a political/social revolution, and together face tough choices ... See full summary »"
Star Wars: Episode VII - The Force Awakens,genre,Action
Star Wars: Episode VII - The Force Awakens,genre,Adventure
Star Wars: Episode VII - The Force Awakens,genre,Fantasy
Star Wars: Episode VII - The Force Awakens,directed_by,J.J. Abrams
Star Wars: Episode VII - The Force Awakens,acted_by,Daisy Ridley
Star Wars: Episode VII - The Force Awakens,acted_by,John Boyega
Star Wars: Episode VII - The Force Awakens,acted_by,Oscar Isaac
Star Wars: Episode VII - The Force Awakens,acted_by,Domhnall Gleeson
Star Wars: Episode VII - The Force Awakens,released_in,2015
Star Wars: Episode VII - The Force Awakens,described_as,"Three decades after the defeat of the Galactic Empire, a new threat arises. The First Order attempts to rule the galaxy and only a ragtag group of heroes can stop them, along with the help of the Resistance."
Underworld: Blood Wars,genre,Action
Underworld: Blood Wars,genre,Adventure
Underworld: Blood Wars,genre,Fantasy
Underworld: Blood Wars,directed_by,Anna Foerster
Underworld: Blood Wars,acted_by,Kate Beckinsale
Underworld: Blood Wars,acted_by,Theo James
Underworld: Blood Wars,acted_by,Tobias Menzies
Underworld: Blood Wars,acted_by,Lara Pulver
Underworld: Blood Wars,released_in,2016
Underworld: Blood Wars,described_as,"Vampire death dealer, Selene (Kate Beckinsale) fights to end the eternal war between the Lycan clan and the Vampire faction that betrayed her."
Mother's Day,genre,Comedy
Mother's Day,genre,Drama
Mother's Day,directed_by,Garry Marshall
Mother's Day,acted_by,Jennifer Aniston
Mother's Day,acted_by,Kate Hudson
Mother's Day,acted_by,Julia Roberts
Mother's Day,acted_by,Jason Sudeikis
Mother's Day,released_in,2016
Mother's Day,described_as,Three generations come together in the week leading up to Mother's Day.
John Wick,genre,Action
John Wick,genre,Crime
John Wick,genre,Thriller
John Wick,directed_by,Chad Stahelski
John Wick,acted_by,Keanu Reeves
John Wick,acted_by,Michael Nyqvist
John Wick,acted_by,Alfie Allen
John Wick,acted_by,Willem Dafoe
John Wick,released_in,2014
John Wick,described_as,An ex-hitman comes out of retirement to track down the gangsters that took everything from him.
The Dark Knight,genre,Action
The Dark Knight,genre,Crime
The Dark Knight,genre,Drama
The Dark Knight,directed_by,Christopher Nolan
The Dark Knight,acted_by,Christian Bale
The Dark Knight,acted_by,Heath Ledger
The Dark Knight,acted_by,Aaron Eckhart
The Dark Knight,acted_by,Michael Caine
The Dark Knight,released_in,2008
The Dark Knight,described_as,"When the menace known as the Joker wreaks havoc and chaos on the people of Gotham, the Dark Knight must come to terms with one of the greatest psychological tests of his ability to fight injustice."
Silence,genre,Adventure
Silence,genre,Drama
Silence,genre,History
Silence,directed_by,Martin Scorsese
Silence,acted_by,Andrew Garfield
Silence,acted_by,Adam Driver
Silence,acted_by,Liam Neeson
Silence,acted_by,Tadanobu Asano
Silence,released_in,2016
Silence,described_as,"In the 17th century, two Portuguese Jesuit priests travel to Japan in an attempt to locate their mentor, who is rumored to have committed apostasy, and to propagate Catholicism."
Don't Breathe,genre,Crime
Don't Breathe,genre,Horror
Don't Breathe,genre,Thriller
Don't Breathe,directed_by,Fede Alvarez
Don't Breathe,acted_by,Stephen Lang
Don't Breathe,acted_by,Jane Levy
Don't Breathe,acted_by,Dylan Minnette
Don't Breathe,acted_by,Daniel Zovatto
Don't Breathe,released_in,2016
Don't Breathe,described_as,"Hoping to walk away with a massive fortune, a trio of thieves break into the house of a blind man who isn't as helpless as he seems."
Me Before You,genre,Drama
Me Before You,genre,Romance
Me Before You,directed_by,Thea Sharrock
Me Before You,acted_by,Emilia Clarke
Me Before You,acted_by,Sam Claflin
Me Before You,acted_by,Janet McTeer
Me Before You,acted_by,Charles Dance
Me Before You,released_in,2016
Me Before You,described_as,A girl in a small town forms an unlikely bond with a recently-paralyzed man she's taking care of.
Their Finest,genre,Comedy
Their Finest,genre,Drama
Their Finest,genre,Romance
Their Finest,directed_by,Lone Scherfig
Their Finest,acted_by,Gemma Arterton
Their Finest,acted_by,Sam Claflin
Their Finest,acted_by,Bill Nighy
Their Finest,acted_by,Jack Huston
Their Finest,released_in,2016
Their Finest,described_as,"A former secretary, newly appointed as a scriptwriter for propaganda films, joins the cast and crew of a major production while the Blitz rages around them."
Sully,genre,Biography
Sully,genre,Drama
Sully,directed_by,Clint Eastwood
Sully,acted_by,Tom Hanks
Sully,acted_by,Aaron Eckhart
Sully,acted_by,Laura Linney
Sully,acted_by,Valerie Mahaffey
Sully,released_in,2016
Sully,described_as,"The story of Chesley Sullenberger, an American pilot who became a hero after landing his damaged plane on the Hudson River in order to save the flight's passengers and crew."
Batman v Superman: Dawn of Justice,genre,Action
Batman v Superman: Dawn of Justice,genre,Adventure
Batman v Superman: Dawn of Justice,genre,Sci-Fi
Batman v Superman: Dawn of Justice,directed_by,Zack Snyder
Batman v Superman: Dawn of Justice,acted_by,Ben Affleck
